Name;Salary
Dwight Powell;845059.0
Charlie Villanueva;947276.0
Deron Williams;5378974.0
Michael Beasley;306527.0
Patrick Beverley;6486486.0
Corey Brewer;8229375.0
Clint Capela;1242720.0
Sam Dekker;1646400.0
Andrew Goudelock;200600.0
James Harden;15756438.0
Montrezl Harrell;1000000.0
Dwight Howard;22359364.0
Terrence Jones;2489530.0
K.J. McDaniels;3189794.0
Donatas Motiejunas;2288205.0
Josh Smith;947276.0
Jason Terry;947276.0
Jordan Adams;1404600.0
Tony Allen;5158539.0
Chris Andersen;5000000.0
Matt Barnes;3542500.0
Vince Carter;4088019.0
Mike Conley;9588426.0
Bryce Cotton;700902.0
JaMychal Green;845059.0
P.J. Hairston;1201440.0
Jarell Martin;1230840.0
Zach Randolph;9638555.0
Lance Stephenson;9000000.0
Brandan Wright;5464000.0
Alexis Ajinca;4389607.0
Ryan Anderson;8500000.0
Omer Asik;9213483.0
Luke Babbitt;1100602.0
Norris Cole;3036927.0
Dante Cunningham;2850000.0
Anthony Davis;7070730.0
Toney Douglas;1164858.0
James Ennis;845059.0
Tyreke Evans;10734586.0
Tim Frazier;845059.0
Alonzo Gee;1320000.0
Eric Gordon;15514031.0
Jordan Hamilton;1015421.0
Jrue Holiday;10595507.0
Orlando Johnson;55722.0
Kendrick Perkins;947276.0
Quincy Pondexter;3382023.0
LaMarcus Aldridge;19689000.0
Kyle Anderson;1142880.0
Matt Bonner;947276.0
Boris Diaw;7500000.0
Tim Duncan;5250000.0
Manu Ginobili;2814000.0
Danny Green;10000000.0
Kawhi Leonard;16407500.0
Boban Marjanovic;1200000.0
Kevin Martin;200600.0
Andre Miller;250750.0
Patty Mills;3578947.0
Tony Parker;13437500.0
David West;1499187.0
Kent Bazemore;2000000.0
Tim Hardaway Jr.;1304520.0
Kirk Hinrich;2854940.0
Al Horford;12000000.0
Kris Humphries;1000000.0
Kyle Korver;5746479.0
Paul Millsap;18671659.0
Mike Muscala;947276.0
Lamar Patterson;525093.0
Dennis Schroder;1763400.0
Mike Scott;3333333.0
Thabo Sefolosha;4000000.0
Tiago Splitter;9756250.0
Walter Tavares;1000000.0
Nicolas Batum;13125306.0
Troy Daniels;947276.0
Jorge Gutierrez;189455.0
Tyler Hansbrough;947276.0
Aaron Harrison;525093.0
Spencer Hawes;6110034.0
Al Jefferson;13500000.0
Frank Kaminsky III;2612520.0
Michael Kidd-Gilchrist;6331404.0
Jeremy Lamb;3034356.0
Courtney Lee;5675000.0
Jeremy Lin;2139000.0
Kemba Walker;12000000.0
Marvin Williams;7000000.0
Cody Zeller;4204200.0
Luol Deng;10151612.0
Goran Dragic;14783000.0
Gerald Green;947276.0
Udonis Haslem;2854940.0
Joe Johnson;261894.0
Tyler Johnson;845059.0
Josh McRoberts;5543725.0
Josh Richardson;525093.0
Amar'e Stoudemire;947276.0
Dwyane Wade;20000000.0
Hassan Whiteside;981348.0
Justise Winslow;2481720.0
Dewayne Dedmon;947276.0
Evan Fournier;2288205.0
Mario Hezonja;3741480.0
Ersan Ilyasova;7900000.0
Brandon Jennings;8344497.0
Devyn Marble;845059.0
Shabazz Napier;1294440.0
Andrew Nicholson;2380593.0
Victor Oladipo;5192520.0
Elfrid Payton;2505720.0
Jason Smith;4300000.0
Nikola Vucevic;11250000.0
C.J. Watson;5000000.0
Alan Anderson;4000000.0
Bradley Beal;5694674.0
Jarell Eddie;561716.0
Drew Gooden;3300000.0
Marcin Gortat;11217391.0
JJ Hickson;273038.0
Nene Hilario;13000000.0
Markieff Morris;8000000.0
Kelly Oubre Jr.;1920240.0
Otto Porter Jr.;4662960.0
Ramon Sessions;2170465.0
Garrett Temple;1100602.0
Marcus Thornton;200600.0
John Wall;15851950.0
Darrell Arthur;2814000.0
D.J. Augustin;3000000.0
Will Barton;3533333.0
Kenneth Faried;11235955.0
Danilo Gallinari;14000000.0
Gary Harris;1584480.0
Nikola Jokic;1300000.0
Joffrey Lauvergne;1709719.0
Mike Miller;947276.0
Emmanuel Mudiay;3102240.0
Jameer Nelson;4345000.0
Jusuf Nurkic;1842000.0
JaKarr Sampson;258489.0
Nemanja Bjelica;3950001.0
Gorgui Dieng;1474440.0
Kevin Garnett;8500000.0
